name,country_code
Vienna,AT
Sydney,AU
Melbourne,AU
Brisbane,AU
Calgary,CA
Toronto,CA
Vancouver,CA
Zurich,CH
Munich,DE
Hamburg,DE
Berlin,DE
Copenhagen,DK
Helsinki,FI
Edinburgh,GB
Reykjavik,IS
Tokyo,JP
Amsterdam,NL
Oslo,NO
Lisbon,PT
Stockholm,SE
Singapore,SG
