name,country_code
Dubai,AE
Melbourne,AU
Marbella,ES
Naples,US
Orlando,US
Palm Springs,US
Augusta,US
Pinehurst,US
Hilton Head,US
Myrtle Beach,US
Augusta,US
Phoenix,US
Scottsdale,US
La Quinta,US
Los Angeles,US
Palm Springs,US
San Diego,US
Las Vegas,US
